17 	 GET 	 /api/products 	 200 	 2019-12-17
22 	 GET 	 /api/products 	 200 	 2019-12-17
41 	 GET 	 /api/products 	 200 	 2019-12-17 
14 	 GET 	 /api/products 	 200 	 2019-12-17 
15 	 GET 	 /api/products 	 200 	 2019-12-17 
11 	 GET 	 /api/products 	 200 	 2019-12-17 
14 	 GET 	 /api/products 	 200 	 2019-12-17 
100 	 GET 	 /api/products 	 200 	 2019-12-17 
94 	 GET 	 /api/products 	 200 	 2019-12-17 
102 	 GET 	 /api/products 	 200 	 2019-12-17 
82	GET	/api/products	200	2019-12-17 
87	GET	/api/products	200	2019-12-17 
97	GET	/api/products	200	2019-12-17 
105	GET	/api/products	200	2019-12-17 
